ID,Number,Type,content
10016,1,question,"You said that a computer wouldn't be conscious, but now we're developing qubits and quantum computers. do you think now that sort of quantum magic that you need to get consciousness could therefore be contained in a quantum computer?"
10016,2,question,"So my question is about a particular feature of your writing. Your books are phenomenally clear, and one of the unique features that you add to your books is you usually start them with a small story. So in Shadows of the Mind you start with a story of a little girl and her father in a cave, And in one of the other books you start with Amtep the sculptor, kind of waking up. The question is: why do you start with these stories and what are you trying to create or accomplish?"
10016,4,question,"I wanted to pick up on Yang's idea of beauty. Do you find that we've lost a sense that we should do things so that they could be useful and we're driven more by the compulsion to make them useful? I'm afraid my hearing is not good, So the question was about beauty, and are we driven to create music and beauty?"
10016,5,question,"The beautiful is the aim of the endeavor, whether it's scientific or philosophical or moral, and more driven by compulsion towards utility."
10016,6,question,"I'd like to ask about the subject of your cyclical universes theory. You pose some of the problems in your book, some of the challenges that you may receive because of that theory. One of them is the remaining mass in the universe, that is, electrons that won't go away. You posit that it may be okay because they can't make clocks, and that perhaps that would be sufficient, But you didn't like the idea of having to accept that. Do you have any new thoughts on that area now that since the book has been written?"
10020,1,question,"I was wondering. you mentioned about biopolymers and how they could be used as a building material or as a substitue for building materials. to what extent is this true? Like what materials could be substitued using these biopolymers? Ho, much of a building could be made using these."
10020,2,question,"And if it's not a silly question. there are no silly questions. If we convert carbon dioxide to methane and if we burn methane, we finish up with CO2 again. yes, How is that helping?"
10020,3,question,"You've been talking about heterogeneous catalysis. yes, obviously that's your field. Are people doing homogeneous catalysis in similar areas, trying to achieve the same things?"
10020,5,question,"The other really silly question is: are you going to be able to take CO2, carbonic acid- out of seawater?"
10020,6,question,"Still time for a few more questions. There's a young man in the. Would it be possible to, using the right catalyst, combine lots of carbon dioxide molecules together to get the right polymers we need directly, just by connecting them one by one?"
10020,7,question,"My wife says that to enable me to clean up the planet and do my bit for the planet, so I must buy lots of platinum jewelry. Am I being done for a mug?"
10020,8,question,"You mentioned imaging and the importance Just that. obviously, being able to see exactly what the surface looks like is one thing, but actually being able to watch a reaction take place, I guess, would be the holy grail of that. How far along that process are we? Can you tell me a bit more about that?"
10020,9,question,"I was just wondering if you're actually trying to go from plastic back to oil. is there any kind of business? you know, if we can go one way, can we go the other way? So take all the leftover plastic and the garbage that is everywhere and turn it back into oil."
10020,10,question,"I just wondered: does the catalyst get exhausted and is there enough of the raw stuff to make the catalyst? I mean, you're talking about really rare stuff like platinum and so on. That's my concept. There's not much of it about. Is there enough for the work that we need to get done with them?"
10025,1,question,"You covered this briefly in your talk. Ben asks: 'Data visualization clearly puts a lot of power in the hands of the designer and statistician. How do we ensure that you communicate the real, or at least balanced, truth'?"
10025,2,question,"It does sound like a lot of work, like science, communication in general, and a lot of work bringing in people from varied backgrounds. Exactly like multiple perspectives. Yeah, exactly, I don't realize the pressure behind data visualization, though It really is powerNo, there is a lot of pressure."
10025,3,question,"Raj asks: 'How can we use data visualization to challenge fake news', And someone else also asked: 'Conversely, how do you think data visualization has contributed to fake news?"
10025,4,question,Anand asks: 'What's your view on the problems that colorblind people may have with the use of certain colors or also most people being distracted by moire patterns from cross hatching'?
10025,5,question,"That links quite nicely to, because a couple of people have also been asking if you know of any work that's been done around data visualization for visually impaired people. Is there anything based on sound or music or maybe other senses that might be involved?"
10025,6,question,"S McNeil has asked: 'Do you take into account the target audience when planning how to visualize the data, For example, a different way for scientists or engineers compared to an audience of the general public'?"
10025,7,question,And one question said: 'It looks like you really like using nature as your inspiration. Is there any particular reason you think something as complex as nature is a good tool for simplifying data visualization'.
10025,10,question,Is there a specific piece of software you prefer to use for your visualization?
10025,11,question,"What has been the key lessons you took away in your journey of doing this kind of work, and have you considered linking it to more sophisticated algorithms like machine learning and the data they offer?"
10025,12,question,Who are your key influences in this field?
10067,1,question,"Space is made up of quanta of space that are connected. If they're connected in a very orderly way, then dimensions would emerge from that as an emergent property of orderly connected quanta of space, Whereas if they're connected in a very disorderly way, then concepts of localism would be confused, because you've got the idea that going different routes between two points to form a metric space could be completely destroyed If you had a connection between two quanta that was shortcutting an otherwise very long route between quantam."
10067,2,question,Thank you Hi. thank you very much for a very nice talk. My question is: how could your hypothesis be proved wrong?
10067,3,question,"Can you talk a bit about how the ideas you've discussed relate to some of the thinking that's come out of the Wolfram Physics Project: The idea that you could model the universe as basically the output of an iterative program that's running on it and, like you're talking, the idea of computational equivalence, that some things can't be worked out by us because they're as hard as the universe unfolding."
10067,4,question,"You establish your theory and due course and the universe turns out to be non-computable. Does that mean that, left to itself, physics is either going to have to stop or we're going to be able to sort of change our trajectory by our own efforts? If you can't predict, you make something happen yourself. It doesn't mean either the end of physics or that we sort of take the universe over."
10067,5,question,"Hello. Coming back to the weather systems you were talking about In the AI community, they're working on emulator systems, right? These are neural networks which are trained on the output of these dynamical runs. The idea is they run quicker and cheaper than running the dynamical equations from start to finish. In particular, I'm aware of a claim from Deep Mind that their neural network emulator of weather systems outperforms- and I think you mentioned the name of the organization, but there's a standard program that they run, in particular to predict the path of hurricanes. They claim that they outperform this system. What is your take generally on emulators and how does it sit with your ideas of non-computability?"
